consecutivo;E_Org1;E_Org2;E_Org3;E_Org4;E_Org5;E_Org6;Total_Org;Func_7;Func_8;Func_9;Func_10;Total_Func;IntPE_11;IntPE_12;IntPE_13;IntPE_14;IntPE_15;IntPE_16;IntPE_17;IntPE_18;IntPE_19;Total_IntPE;Met_20;Met_21;Met_22;Met_23;Met_24;Total_Met;Eval_25;Eval_26;Eval_27;Total_Eval;IntP_28;IntP_29;IntP_30;IntP_31;IntP_32;IntP_33;Total_IntP;IntExt_34;IntExt_35;IntExt_36;Total_Ext;Sat_37;Sat_38;Sat_39;Sat_40;Sat_41;Total_Sat;P_Sex;P_Edad;P_GrAcad;P_ExpDOC;P_CondLab;P_OtroTrab;P_AsistReg;P_ImAntes;P_Nveces;P_E_Org1;P_E_Org2;P_E_Org3;P_E_Org4;P_E_Org5;P_E_Org6;P_Func_7;P_Func_8;P_Func_9;P_Func_10;P_IntPE_11;P_IntPE_12;P_IntPE_13;P_IntPE_14;P_IntPE_15;P_IntPE_16;P_IntPE_17;P_IntPE_18;P_IntPE_19;P_Met_20;P_Met_21;P_Met_22;P_Met_23;P_Met_24;P_Eval_25;P_Eval_26;P_Eval_27;P_IntP_28;P_IntP_29;P_IntP_30;P_IntP_31;P_IntP_32;P_IntP_33;P_IntExt_34;P_IntExt_35;P_IntExt_36;P_Sat_37;P_Sat_38;P_Sat_39;P_Sat_40;P_Sat_41;;;;;;;;;;;;;;;;
37;3;3;2;2;2;3;15;3;4;3;3;13;1;1;1;1;1;1;4;1;4;15;4;3;3;4;4;18;4;2;3;9;3;3;3;3;3;3;18;2;1;2;5;2;2;2;1;3;10;1;47;2;25;1;0;25;1;15;3;2;2;3;2;3;2;3;3;2;3;3;3;2;3;2;4;3;32;3;2;2;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;;;;;;;;;;;;;;;;
38;3;4;2;4;1;2;16;2;3;2;2;9;3;3;3;3;2;1;3;3;4;25;3;2;4;4;3;16;2;2;2;6;2;2;3;1;3;2;13;2;3;3;8;3;3;2;4;3;15;1;47;2;25;1;0;25;1;15;3;2;2;3;2;3;2;3;3;2;3;3;3;2;3;2;4;3;32;3;2;2;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;;;;;;;;;;;;;;;;
39;4;4;4;4;3;2;21;3;2;3;3;11;3;4;4;4;4;3;4;4;4;34;4;3;4;4;4;19;4;2;3;9;3;3;4;4;4;4;22;4;4;4;12;3;4;3;4;4;18;1;47;2;25;1;0;25;1;15;3;2;2;3;2;3;2;3;3;2;3;3;3;2;3;2;4;3;32;3;2;2;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;;;;;;;;;;;;;;;;
40;3;3;2;3;2;2;15;3;3;3;3;12;1;3;3;2;3;2;4;3;4;25;3;2;4;3;3;15;3;2;NA;5;3;3;3;3;3;3;18;4;4;3;11;3;3;3;3;3;15;1;47;2;25;1;0;25;1;15;3;2;2;3;2;3;2;3;3;2;3;3;3;2;3;2;4;3;32;3;2;2;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;;;;;;;;;;;;;;;;
41;4;4;4;3;4;3;22;4;4;4;3;15;3;3;3;3;3;3;4;3;4;29;3;3;4;4;3;17;4;3;3;10;4;4;4;3;3;3;21;3;3;3;9;3;4;4;4;4;19;1;47;2;25;1;0;25;1;15;3;2;2;3;2;3;2;3;3;2;3;3;3;2;3;2;4;3;32;3;2;2;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;;;;;;;;;;;;;;;;
42;3;4;3;3;2;2;17;2;3;3;3;11;2;2;2;3;3;3;4;2;3;24;4;3;4;3;3;17;4;3;3;10;4;4;4;4;3;3;22;4;4;3;11;3;3;4;4;3;17;1;47;2;25;1;0;25;1;15;3;2;2;3;2;3;2;3;3;2;3;3;3;2;3;2;4;3;32;3;2;2;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;;;;;;;;;;;;;;;;
43;4;4;;3;3;2;16;1;3;2;3;9;3;2;3;3;3;2;3;4;4;27;4;4;3;3;3;17;4;3;2;9;4;4;4;4;3;4;23;3;2;3;8;4;3;3;4;4;18;1;47;2;25;1;0;25;1;15;3;2;2;3;2;3;2;3;3;2;3;3;3;2;3;2;4;3;32;3;2;2;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;;;;;;;;;;;;;;;;
44;3;4;3;4;3;2;19;3;2;4;3;12;2;3;2;3;2;2;4;3;4;25;4;3;4;4;3;18;4;3;4;11;4;1;4;1;4;2;16;3;3;3;9;3;3;3;4;4;17;1;47;2;25;1;0;25;1;15;3;2;2;3;2;3;2;3;3;2;3;3;3;2;3;2;4;3;32;3;2;2;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;;;;;;;;;;;;;;;;
45;4;4;4;4;2;2;20;3;2;3;3;11;3;3;4;4;4;4;3;2;4;31;3;3;3;3;3;15;3;4;2;9;4;3;3;3;3;3;19;3;4;3;10;4;4;4;4;3;19;1;47;2;25;1;0;25;1;15;3;2;2;3;2;3;2;3;3;2;3;3;3;2;3;2;4;3;32;3;2;2;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;;;;;;;;;;;;;;;;
46;4;4;4;3;3;3;21;3;2;3;3;11;3;3;3;3;3;4;4;2;4;29;4;4;4;3;3;18;3;3;3;9;4;4;3;2;3;3;19;3;3;3;9;3;3;3;3;3;15;1;47;2;25;1;0;25;1;15;3;2;2;3;2;3;2;3;3;2;3;3;3;2;3;2;4;3;32;3;2;2;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;;;;;;;;;;;;;;;;
47;3;4;4;3;4;4;22;4;4;4;4;16;4;4;3;4;3;4;4;4;4;34;4;4;4;4;4;20;4;4;4;12;4;4;4;4;4;4;24;4;4;4;12;3;3;3;3;4;16;1;47;2;25;1;0;25;1;15;3;2;2;3;2;3;2;3;3;2;3;3;3;2;3;2;4;3;32;3;2;2;3;2;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;;;;;;;;;;;;;;;;
48;4;4;3;4;3;3;21;4;3;3;4;14;3;3;3;4;4;4;4;4;4;33;4;4;4;3;3;18;3;2;2;7;3;3;3;3;3;4;19;4;3;3;10;4;4;4;4;4;20;0;40;2;16;2;0;10;1;20;3;3;3;1;3;3;1;4;4;2;3;3;3;3;3;3;3;2;3;3;3;2;1;3;1;1;3;4;2;2;3;3;2;3;3;3;2;3;3;3;3;;;;;;;;;;;;;;;;
49;4;4;2;NA;3;2;15;2;;3;NA;5;4;4;3;3;3;2;4;3;2;28;3;3;4;4;4;18;2;3;4;9;4;4;4;4;4;4;24;3;4;4;11;3;3;3;4;4;17;0;40;2;16;2;0;10;1;20;3;3;3;1;3;3;1;4;4;2;3;3;3;3;3;3;3;2;3;3;3;2;1;3;1;1;3;4;2;2;3;3;2;3;3;3;2;3;3;3;3;;;;;;;;;;;;;;;;
50;4;4;4;3;3;2;20;2;2;2;2;8;4;4;4;4;4;4;4;3;4;35;4;4;4;4;4;20;4;4;4;12;4;4;3;3;3;3;20;3;2;2;7;2;2;2;2;3;11;0;40;2;16;2;0;10;1;20;3;3;3;1;3;3;1;4;4;2;3;3;3;3;3;3;3;2;3;3;3;2;1;3;1;1;3;4;2;2;3;3;2;3;3;3;2;3;3;3;3;;;;;;;;;;;;;;;;
51;3;4;2;3;2;3;17;3;2;3;3;11;3;3;3;3;2;3;3;2;4;26;3;3;3;3;3;15;3;2;2;7;3;3;3;2;3;3;17;3;3;3;9;2;2;2;2;3;11;0;40;2;16;2;0;10;1;20;3;3;3;1;3;3;1;4;4;2;3;3;3;3;3;3;3;2;3;3;3;2;1;3;1;1;3;4;2;2;3;3;2;3;3;3;2;3;3;3;3;;;;;;;;;;;;;;;;
