consecutivo;E_Org1;E_Org2;E_Org3;E_Org4;E_Org5;E_Org6;Total_Org;Func_7;Func_8;Func_9;Func_10;Total_Func;IntPE_11;IntPE_12;IntPE_13;IntPE_14;IntPE_15;IntPE_16;IntPE_17;IntPE_18;IntPE_19;Total_IntPE;Met_20;Met_21;Met_22;Met_23;Met_24;Total_Met;Eval_25;Eval_26;Eval_27;Total_Eval;IntP_28;IntP_29;IntP_30;IntP_31;IntP_32;IntP_33;Total_IntP;IntExt_34;IntExt_35;IntExt_36;Total_Ext;Sat_37;Sat_38;Sat_39;Sat_40;Sat_41;Total_Sat;P_Sex;P_Edad;P_GrAcad;P_ExpDOC;P_CondLab;P_OtroTrab;P_AsistReg;P_ImAntes;P_Nveces;P_E_Org1;P_E_Org2;P_E_Org3;P_E_Org4;P_E_Org5;P_E_Org6;P_Func_7;P_Func_8;P_Func_9;P_Func_10;P_IntPE_11;P_IntPE_12;P_IntPE_13;P_IntPE_14;P_IntPE_15;P_IntPE_16;P_IntPE_17;P_IntPE_18;P_IntPE_19;P_Met_20;P_Met_21;P_Met_22;P_Met_23;P_Met_24;P_Eval_25;P_Eval_26;P_Eval_27;P_IntP_28;P_IntP_29;P_IntP_30;P_IntP_31;P_IntP_32;P_IntP_33;P_IntExt_34;P_IntExt_35;P_IntExt_36;P_Sat_37;P_Sat_38;P_Sat_39;P_Sat_40;P_Sat_41;;;;;;;;;;;;;;;;
52;3;4;3;3;2;2;17;3;2;3;3;11;4;4;3;4;3;4;4;4;4;34;4;3;3;4;3;17;3;4;4;11;4;2;2;3;2;2;15;3;4;3;10;3;3;4;4;4;18;0;40;2;16;2;0;10;1;20;3;3;3;1;3;3;1;4;4;2;3;3;3;3;3;3;3;2;3;3;3;2;1;3;1;1;3;4;2;2;3;3;2;3;3;3;2;3;3;3;3;;;;;;;;;;;;;;;;
53;3;4;3;3;3;2;18;3;2;3;3;11;2;3;3;3;2;3;3;2;4;25;4;4;3;3;3;17;3;2;1;6;4;2;3;3;4;3;19;2;3;3;8;4;3;4;4;4;19;0;40;2;16;2;0;10;1;20;3;3;3;1;3;3;1;4;4;2;3;3;3;3;3;3;3;2;3;3;3;2;1;3;1;1;3;4;2;2;3;3;2;3;3;3;2;3;3;3;3;;;;;;;;;;;;;;;;
54;2;4;3;3;2;3;17;3;2;2;3;10;4;4;4;4;4;4;4;4;4;36;4;4;4;2;3;17;4;4;4;12;4;4;4;2;3;4;21;4;4;4;12;2;2;2;2;2;10;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
55;3;3;3;4;2;2;17;3;2;3;3;11;3;3;3;3;3;3;3;3;3;27;3;2;3;4;3;15;3;3;2;8;3;3;3;2;3;3;17;3;2;2;7;3;3;3;3;4;16;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
56;4;4;4;3;3;3;21;3;3;4;4;14;4;4;3;4;4;3;4;4;4;34;4;4;4;4;4;20;4;4;4;12;4;4;3;3;4;4;22;3;2;3;8;3;4;4;4;4;19;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
57;4;4;4;4;4;3;23;3;3;3;3;12;4;4;4;4;4;4;4;4;4;36;4;4;4;4;4;20;4;4;4;12;4;4;4;4;4;4;24;3;4;4;11;4;4;4;4;4;20;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
58;3;3;2;3;2;3;16;3;3;3;3;12;2;2;3;3;3;2;3;3;3;24;2;3;3;4;4;16;3;3;2;8;2;2;3;3;3;2;15;3;3;3;9;3;3;3;2;2;13;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
59;3;4;3;3;1;1;15;4;1;1;3;9;1;1;2;3;2;1;4;2;3;19;3;2;3;3;2;13;3;1;1;5;4;4;4;2;4;4;22;1;2;3;6;1;1;1;3;4;10;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
60;3;3;3;3;2;2;16;3;3;3;2;11;3;3;3;3;3;3;3;3;3;27;3;3;3;3;3;15;3;3;1;7;3;3;3;3;3;3;18;3;2;2;7;3;3;3;2;3;14;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
61;3;3;3;3;1;1;14;3;2;4;2;11;2;2;2;3;2;3;2;2;3;21;2;1;2;1;1;7;2;2;2;6;3;2;3;1;3;3;15;4;4;4;12;3;3;3;4;4;17;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
62;4;4;4;3;3;3;21;3;3;2;2;10;3;3;3;3;3;2;4;3;3;27;3;3;3;3;4;16;4;4;3;11;3;3;3;2;3;3;17;2;3;3;8;3;3;3;3;4;16;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
63;3;3;2;4;3;3;18;3;3;4;3;13;3;3;3;3;3;4;4;4;4;31;4;3;4;3;4;18;4;3;3;10;3;3;3;3;3;3;18;3;3;3;9;3;3;3;4;3;16;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
64;4;4;4;3;3;3;21;3;3;4;3;13;3;3;3;3;3;4;4;3;3;29;4;3;3;3;3;16;3;3;2;8;3;3;3;3;2;3;17;3;3;3;9;4;3;4;3;3;17;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
65;4;4;3;4;2;1;18;1;2;3;2;8;4;4;4;4;3;4;4;4;4;35;4;4;4;4;4;20;4;4;4;12;4;4;4;4;4;4;24;3;4;4;11;3;3;3;4;4;17;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
66;3;3;2;4;2;3;17;2;3;3;3;11;2;3;3;3;3;NA;3;3;3;23;3;2;2;4;2;13;3;2;3;8;3;3;3;3;2;3;17;3;4;3;10;4;4;3;4;4;19;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
67;4;4;4;4;2;2;20;2;2;2;2;8;2;3;2;3;2;3;3;3;3;24;3;3;3;3;3;15;3;3;3;9;3;3;3;3;3;3;18;3;3;3;9;3;3;3;3;3;15;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
68;3;3;4;4;2;3;19;4;4;4;4;16;4;4;3;3;4;4;4;4;4;34;4;4;4;4;4;20;4;4;4;12;4;4;4;4;4;4;24;4;4;3;11;4;4;4;4;4;20;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
69;3;3;3;3;2;3;17;2;3;4;4;13;4;3;2;3;3;3;2;3;3;26;4;3;3;4;3;17;3;3;2;8;4;4;4;2;4;4;22;3;3;2;8;3;3;3;3;3;15;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
70;3;4;2;3;3;2;17;3;3;1;3;10;4;4;4;4;4;4;4;4;4;36;4;4;4;3;4;19;4;4;4;12;4;4;4;4;4;4;24;3;3;3;9;3;3;3;4;4;17;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
71;4;4;4;3;4;3;22;4;4;3;4;15;3;4;4;4;4;4;4;4;4;35;4;3;4;4;4;19;2;4;4;10;3;4;4;4;3;4;22;4;4;4;12;4;4;4;4;4;20;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
72;4;4;3;3;2;2;18;3;3;3;3;12;3;3;2;2;2;3;4;2;3;24;3;3;3;3;3;15;2;2;2;6;4;4;4;2;4;4;22;2;3;3;8;3;3;3;3;4;16;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
73;2;4;4;3;3;3;19;4;3;4;3;14;3;3;3;3;4;3;3;3;3;28;3;3;3;3;3;15;3;3;2;8;3;3;3;3;3;3;18;3;3;3;9;3;3;3;3;3;15;0;34;1;7;1;0;20;1;11;3;3;4;1;3;2;3;2;4;3;2;3;3;3;4;4;3;3;3;4;4;2;3;4;2;1;3;4;4;3;3;4;4;1;3;3;3;3;4;4;4;;;;;;;;;;;;;;;;
74;4;4;3;4;3;2;20;3;2;4;3;12;4;4;4;4;3;4;4;4;4;35;4;4;4;4;4;20;4;4;4;12;4;4;4;4;4;4;24;3;3;3;9;4;4;4;4;4;20;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
75;3;4;3;3;2;3;18;3;2;3;3;11;3;3;3;2;3;3;4;3;4;28;4;4;3;4;3;18;4;3;3;10;3;3;3;4;3;3;19;3;3;3;9;4;3;4;4;4;19;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
76;4;4;3;2;3;3;19;4;4;3;3;14;3;3;3;4;4;3;4;3;3;30;3;2;4;4;3;16;4;3;3;10;3;3;3;4;3;3;19;3;3;3;9;4;3;4;4;4;19;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
77;2;3;2;2;2;2;13;2;3;3;3;11;2;2;2;2;2;1;4;3;3;21;3;2;3;3;2;13;2;2;2;6;2;2;3;3;3;3;16;4;3;2;9;3;2;3;4;4;16;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
78;3;2;2;2;2;2;13;3;2;3;3;11;3;3;2;3;3;2;3;3;3;25;2;3;3;3;3;14;2;2;2;6;2;3;2;2;3;2;14;2;3;2;7;2;2;2;3;3;12;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
79;4;4;3;2;3;3;19;4;3;3;3;13;3;4;4;4;4;3;4;4;4;34;4;3;4;4;4;19;4;4;3;11;4;4;4;3;4;3;22;4;4;4;12;3;3;3;4;4;17;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
80;3;3;4;3;3;2;18;3;2;3;3;11;4;3;2;3;3;3;3;2;3;26;3;3;3;2;3;14;2;2;3;7;NA;2;2;2;2;3;11;3;3;3;9;2;2;2;3;3;12;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
81;3;3;4;3;2;2;17;3;3;2;3;11;3;2;3;3;2;3;4;3;4;27;4;3;4;4;4;19;4;3;2;9;3;4;3;3;3;3;19;2;3;4;9;2;3;2;3;3;13;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
82;3;4;1;2;2;2;14;2;2;2;2;8;3;2;2;2;2;3;3;3;3;23;3;3;3;3;3;15;3;3;3;9;4;3;4;4;4;4;23;4;3;3;10;2;2;2;4;3;13;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
83;4;4;3;3;2;2;18;3;3;2;3;11;2;4;3;4;4;4;4;2;3;30;2;3;4;4;4;17;4;4;3;11;3;3;3;1;2;2;14;1;1;1;3;2;3;3;3;3;14;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
84;3;4;3;4;3;3;20;3;3;3;3;12;3;4;4;4;4;4;4;4;4;35;4;4;4;4;4;20;4;4;4;12;4;4;4;4;4;4;24;3;3;3;9;3;3;3;4;4;17;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
85;4;3;4;4;4;3;22;4;1;3;3;11;3;2;3;4;3;4;4;4;4;31;3;2;3;4;4;16;3;3;2;8;4;4;4;3;4;3;22;3;2;2;7;3;3;4;4;4;18;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
86;3;4;2;1;4;2;16;4;2;3;3;12;3;4;4;4;4;3;4;4;4;34;4;4;4;4;4;20;4;4;4;12;4;4;4;4;3;4;23;4;4;4;12;4;3;3;4;4;18;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
87;3;3;3;2;3;3;17;3;3;2;2;10;3;4;4;4;3;4;4;4;4;34;4;4;4;4;4;20;4;4;4;12;4;4;4;4;4;3;23;3;2;3;8;3;3;2;4;4;16;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
88;4;4;4;4;3;4;23;3;3;2;2;10;3;4;4;4;4;2;4;4;4;33;4;4;4;3;4;19;4;4;3;11;4;4;4;2;2;4;20;4;4;3;11;4;3;3;4;3;17;0;41;1;20;1;1;22;1;10;4;4;3;2;3;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;2;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;
89;4;4;3;3;2;2;18;3;3;4;4;14;2;3;3;3;3;4;4;4;4;30;2;3;3;3;3;14;4;4;2;10;3;3;3;2;3;3;17;3;2;3;8;2;3;3;2;4;14;1;35;2;8;1;0;25;1;Muchas;3;3;4;3;4;3;3;3;4;2;3;4;4;4;3;4;4;4;4;4;4;3;2;3;3;2;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;;;;;;;;;;;;;;;;
90;3;4;2;3;1;3;16;3;2;3;3;11;3;2;2;2;3;2;2;4;2;22;3;3;3;4;4;17;4;4;3;11;3;3;3;3;3;2;17;3;4;4;11;3;3;3;3;4;16;1;35;2;8;1;0;25;1;Muchas;3;3;4;3;4;3;3;3;4;2;3;4;4;4;3;4;4;4;4;4;4;3;2;3;3;2;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;;;;;;;;;;;;;;;;
91;3;4;4;3;2;3;19;3;3;2;3;11;3;3;4;4;4;4;4;4;4;34;4;4;3;4;4;19;4;3;3;10;3;3;3;3;4;4;20;3;3;3;9;4;3;3;3;3;16;1;35;2;8;1;0;25;1;Muchas;3;3;4;3;4;3;3;3;4;2;3;4;4;4;3;4;4;4;4;4;4;3;2;3;3;2;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;;;;;;;;;;;;;;;;
92;4;4;4;4;3;3;22;2;2;4;4;12;4;4;4;4;4;4;4;4;4;36;4;4;4;4;4;20;4;4;4;12;4;4;4;4;4;4;24;3;2;3;8;3;2;3;4;4;16;1;35;2;8;1;0;25;1;Muchas;3;3;4;3;4;3;3;3;4;2;3;4;4;4;3;4;4;4;4;4;4;3;2;3;3;2;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;;;;;;;;;;;;;;;;
93;4;4;3;3;3;3;20;3;4;3;3;13;3;3;3;3;4;2;4;3;4;29;4;4;4;3;4;19;4;4;3;11;4;4;4;4;3;3;22;3;4;4;11;2;2;2;2;4;12;1;35;2;8;1;0;25;1;Muchas;3;3;4;3;4;3;3;3;4;2;3;4;4;4;3;4;4;4;4;4;4;3;2;3;3;2;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;;;;;;;;;;;;;;;;
94;4;4;4;4;4;3;23;3;3;3;2;11;4;4;4;4;4;4;4;4;4;36;4;4;4;4;4;20;4;4;4;12;4;4;4;4;4;3;23;3;4;4;11;4;4;4;4;4;20;1;35;2;8;1;0;25;1;Muchas;3;3;4;3;4;3;3;3;4;2;3;4;4;4;3;4;4;4;4;4;4;3;2;3;3;2;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;;;;;;;;;;;;;;;;
95;4;4;4;3;1;1;17;1;1;2;2;6;4;4;4;4;4;4;4;4;4;36;4;4;4;4;4;20;4;4;4;12;4;4;4;4;4;4;24;1;1;1;3;3;3;3;4;3;16;1;35;2;8;1;0;25;1;Muchas;3;3;4;3;4;3;3;3;4;2;3;4;4;4;3;4;4;4;4;4;4;3;2;3;3;2;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;;;;;;;;;;;;;;;;
96;3;4;2;3;1;1;14;2;2;2;3;9;3;2;3;3;3;2;4;3;4;27;4;4;4;4;4;20;4;3;3;10;4;3;3;3;4;4;21;2;3;3;8;3;3;4;3;4;17;1;35;2;8;1;0;25;1;Muchas;3;3;4;3;4;3;3;3;4;2;3;4;4;4;3;4;4;4;4;4;4;3;2;3;3;2;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;;;;;;;;;;;;;;;;
97;4;4;4;4;3;3;22;3;3;3;3;12;4;4;4;4;4;4;4;4;4;36;4;4;4;4;4;20;4;4;3;11;4;4;4;3;4;4;23;4;3;4;11;4;4;4;4;4;20;1;35;2;8;1;0;25;1;Muchas;3;3;4;3;4;3;3;3;4;2;3;4;4;4;3;4;4;4;4;4;4;3;2;3;3;2;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;;;;;;;;;;;;;;;;
98;3;4;3;3;2;2;17;2;2;3;3;10;3;2;3;4;4;2;3;3;4;28;3;3;3;3;3;15;3;3;3;9;3;3;3;2;3;3;17;3;3;3;9;2;3;3;3;3;14;1;35;2;8;1;0;25;1;Muchas;3;3;4;3;4;3;3;3;4;2;3;4;4;4;3;4;4;4;4;4;4;3;2;3;3;2;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;;;;;;;;;;;;;;;;
99;3;4;3;3;2;3;18;3;2;3;3;11;3;4;3;3;3;3;4;4;4;31;3;4;4;3;3;17;3;4;2;9;3;3;3;4;3;2;18;3;3;3;9;3;3;3;3;3;15;1;35;2;8;1;0;25;1;Muchas;3;3;4;3;4;3;3;3;4;2;3;4;4;4;3;4;4;4;4;4;4;3;2;3;3;2;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;;;;;;;;;;;;;;;;
100;4;4;2;3;1;3;17;2;3;4;3;12;4;4;4;3;3;4;4;4;4;34;4;4;4;4;4;20;4;4;3;11;4;4;4;4;4;4;24;4;2;3;9;3;3;3;4;4;17;1;35;2;8;1;0;25;1;Muchas;3;3;4;3;4;3;3;3;4;2;3;4;4;4;3;4;4;4;4;4;4;3;2;3;3;2;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;;;;;;;;;;;;;;;;
101;4;4;4;3;1;1;17;2;2;3;3;10;2;2;3;3;3;3;4;4;4;28;4;3;3;4;3;17;3;4;2;9;3;4;4;2;4;2;19;2;3;3;8;3;2;3;3;3;14;1;35;2;8;1;0;25;1;Muchas;3;3;4;3;4;3;3;3;4;2;3;4;4;4;3;4;4;4;4;4;4;3;2;3;3;2;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;;;;;;;;;;;;;;;;
102;3;4;2;3;2;2;16;3;2;3;2;10;3;4;4;4;4;4;4;4;4;35;4;4;4;4;4;20;4;4;4;12;4;3;3;3;3;3;19;2;2;2;6;4;4;4;4;4;20;1;35;2;8;1;0;25;1;Muchas;3;3;4;3;4;3;3;3;4;2;3;4;4;4;3;4;4;4;4;4;4;3;2;3;3;2;3;4;3;3;2;4;3;4;3;3;2;2;2;3;3;;;;;;;;;;;;;;;;
103;3;4;3;2;2;3;17;2;2;2;2;8;3;3;3;2;3;4;3;3;4;28;2;2;4;4;4;16;3;3;2;8;4;4;4;3;3;3;21;3;4;4;11;4;3;4;3;3;17;0;41;3;15;2;1;30;1;5;4;4;4;4;4;4;3;1;4;3;4;4;3;3;3;3;4;2;4;3;2;2;1;4;2;2;2;4;3;3;3;4;4;4;2;2;3;3;4;2;4;;;;;;;;;;;;;;;;
104;2;4;3;2;2;3;16;2;3;3;3;11;3;3;2;2;2;3;4;3;4;26;4;4;4;4;3;19;3;3;3;9;4;4;4;4;4;4;24;4;1;3;8;3;2;3;4;3;15;0;41;3;15;2;1;30;1;5;4;4;4;4;4;4;3;1;4;3;4;4;3;3;3;3;4;2;4;3;2;2;1;4;2;2;2;4;3;3;3;4;4;4;2;2;3;3;4;2;4;;;;;;;;;;;;;;;;
105;4;4;3;3;3;3;20;3;2;4;4;13;4;3;2;2;3;4;4;4;3;29;4;4;4;4;4;20;3;4;3;10;4;4;4;2;4;4;22;3;2;3;8;3;3;3;3;3;15;0;41;3;15;2;1;30;1;5;4;4;4;4;4;4;3;1;4;3;4;4;3;3;3;3;4;2;4;3;2;2;1;4;2;2;2;4;3;3;3;4;4;4;2;2;3;3;4;2;4;;;;;;;;;;;;;;;;
106;3;3;4;2;2;2;16;2;2;3;2;9;3;3;3;3;3;3;4;4;4;30;4;4;4;4;4;20;4;4;3;11;4;4;4;4;4;4;24;2;4;4;10;3;3;3;4;3;16;0;41;3;15;2;1;30;1;5;4;4;4;4;4;4;3;1;4;3;4;4;3;3;3;3;4;2;4;3;2;2;1;4;2;2;2;4;3;3;3;4;4;4;2;2;3;3;4;2;4;;;;;;;;;;;;;;;;
107;2;3;2;2;2;3;14;2;2;3;2;9;3;2;3;3;2;3;4;3;4;27;3;3;3;4;3;16;3;4;3;10;3;4;3;3;3;2;18;2;2;2;6;3;3;3;3;3;15;0;41;3;15;2;1;30;1;5;4;4;4;4;4;4;3;1;4;3;4;4;3;3;3;3;4;2;4;3;2;2;1;4;2;2;2;4;3;3;3;4;4;4;2;2;3;3;4;2;4;;;;;;;;;;;;;;;;
108;3;2;3;3;2;2;15;3;3;2;2;10;3;3;2;2;3;3;4;3;4;27;3;3;3;3;3;15;3;4;3;10;4;4;4;3;3;4;22;2;3;3;8;3;2;3;1;3;12;0;41;3;15;2;1;30;1;5;4;4;4;4;4;4;3;1;4;3;4;4;3;3;3;3;4;2;4;3;2;2;1;4;2;2;2;4;3;3;3;4;4;4;2;2;3;3;4;2;4;;;;;;;;;;;;;;;;
109;3;4;3;3;2;2;17;3;3;3;2;11;3;3;3;4;4;4;4;3;3;31;3;4;4;4;4;19;4;4;3;11;4;3;4;4;3;4;22;2;2;2;6;3;3;2;2;3;13;0;41;3;15;2;1;30;1;5;4;4;4;4;4;4;3;1;4;3;4;4;3;3;3;3;4;2;4;3;2;2;1;4;2;2;2;4;3;3;3;4;4;4;2;2;3;3;4;2;4;;;;;;;;;;;;;;;;
110;3;4;3;4;2;2;18;2;2;2;2;8;3;3;4;4;4;3;4;3;4;32;4;2;2;4;4;16;4;4;3;11;3;3;3;3;3;3;18;2;3;3;8;3;2;3;3;3;14;0;41;3;15;2;1;30;1;5;4;4;4;4;4;4;3;1;4;3;4;4;3;3;3;3;4;2;4;3;2;2;1;4;2;2;2;4;3;3;3;4;4;4;2;2;3;3;4;2;4;;;;;;;;;;;;;;;;
111;3;3;3;2;3;4;18;3;3;3;4;13;4;4;3;3;3;4;4;4;4;33;4;4;4;4;4;20;4;3;3;10;4;4;4;4;4;4;24;3;4;4;11;3;3;3;3;4;16;0;41;3;15;2;1;30;1;5;4;4;4;4;4;4;3;1;4;3;4;4;3;3;3;3;4;2;4;3;2;2;1;4;2;2;2;4;3;3;3;4;4;4;2;2;3;3;4;2;4;;;;;;;;;;;;;;;;
112;4;4;4;4;3;3;22;4;3;4;3;14;4;3;3;4;4;3;4;4;4;33;4;4;4;4;4;20;4;4;2;10;4;4;4;2;4;4;22;4;3;4;11;4;4;;4;4;16;0;41;3;15;2;1;30;1;5;4;4;4;4;4;4;3;1;4;3;4;4;3;3;3;3;4;2;4;3;2;2;1;4;2;2;2;4;3;3;3;4;4;4;2;2;3;3;4;2;4;;;;;;;;;;;;;;;;
